iter	Passed	Remaining
1387	26195	30423
1388	26214	30404
1389	26232	30383
1390	26251	30365
1391	26269	30345
1392	26287	30326
1393	26306	30306
1394	26324	30287
1395	26343	30268
1396	26362	30249
1397	26380	30230
1398	26399	30211
1399	26418	30193
1400	26436	30173
1401	26455	30153
1402	26472	30133
1403	26491	30114
1404	26510	30094
1405	26529	30076
1406	26546	30056
1407	26565	30037
1408	26583	30017
1409	26602	29998
1410	26621	29979
1411	26640	29960
1412	26659	29942
1413	26679	29924
1414	26698	29906
1415	26716	29886
1416	26735	29867
1417	26754	29848
1418	26773	29830
1419	26792	29811
1420	26811	29792
1421	26829	29772
1422	26847	29752
1423	26865	29733
1424	26884	29714
1425	26903	29695
1426	26921	29676
1427	26940	29657
1428	26959	29638
1429	26978	29619
1430	26997	29600
1431	27016	29582
1432	27035	29564
1433	27054	29544
1434	27072	29525
1435	27092	29506
1436	27110	29487
1437	27128	29468
1438	27147	29448
1439	27165	29429
1440	27185	29411
1441	27204	29392
1442	27222	29373
1443	27241	29353
1444	27259	29334
1445	27276	29314
1446	27294	29294
1447	27313	29275
1448	27331	29255
1449	27350	29236
1450	27367	29216
1451	27385	29196
1452	27404	29177
1453	27423	29158
1454	27442	29139
1455	27460	29120
1456	27478	29100
1457	27497	29081
1458	27514	29061
1459	27534	29043
1460	27553	29024
1461	27571	29004
1462	27590	28985
1463	27608	28966
1464	27627	28947
1465	27646	28928
1466	27664	28908
1467	27682	28889
1468	27701	28870
1469	27720	28851
1470	27738	28832
1471	27757	28813
1472	27775	28793
1473	27794	28775
1474	27812	28755
1475	27832	28737
1476	27851	28719
1477	27869	28699
1478	27888	28680
1479	27908	28662
1480	27927	28644
1481	27947	28626
1482	27967	28608
1483	27985	28589
1484	28006	28571
1485	28025	28553
1486	28044	28534
1487	28064	28517
1488	28083	28498
1489	28102	28479
1490	28121	28460
1491	28139	28441
1492	28157	28421
1493	28178	28405
1494	28197	28385
1495	28217	28367
1496	28236	28349
1497	28254	28330
1498	28273	28310
1499	28291	28291
1500	28310	28272
1501	28328	28253
1502	28347	28234
1503	28365	28214
1504	28383	28194
1505	28401	28175
1506	28419	28155
1507	28437	28136
1508	28456	28116
1509	28475	28098
1510	28494	28079
1511	28513	28061
1512	28532	28042
1513	28551	28023
1514	28571	28005
1515	28591	27987
1516	28610	27969
1517	28629	27950
1518	28648	27931
1519	28668	27913
1520	28688	27896
1521	28707	27878
1522	28727	27859
1523	28747	27841
1524	28768	27824
1525	28790	27809
1526	28808	27790
1527	28828	27771
1528	28846	27752
1529	28865	27733
1530	28884	27714
1531	28903	27695
1532	28922	27677
1533	28942	27659
1534	28960	27640
1535	28980	27621
1536	28998	27602
1537	29017	27583
1538	29036	27564
1539	29055	27546
1540	29073	27526
1541	29092	27507
1542	29111	27488
1543	29129	27469
1544	29148	27450
1545	29167	27431
1546	29188	27415
1547	29208	27396
1548	29226	27377
